project_id,cost
29,517000
30,50414
127,334500
251,70700
445,21600
469,80000
474,20000
495,145500
497,560000
536,95000
541,77000
617,15300
724,60000
860,150000
884,16080
908,330300
937,160000
999,37900
1121,22500
1136,22500
1162,396000
1168,199933
1172,67500
1179,15000
1227,30000
1228,75320
1260,133900
1261,139300
1263,25500
1409,21500
1425,50000
1484,32000
1512,3250
1518,9680
1554,80000
1561,16000
1564,10500
1583,50000
1603,10000
1621,174500
1640,60000
1660,83000
1671,53700
1682,303000
1742,139000
1745,12000
1953,292300
1977,120000
1983,30000
2134,4500
2163,423600
